,count,mean,std,min,25%,50%,75%,max
yield,13693.0,0.05174149393716941,0.15834776102433548,0.0,0.0,0.025923084582186885,0.06677796157103368,11.400966025997946
market-corr,13667.0,0.2759246913670445,0.19603656231097796,-0.35916697306867545,0.13773924116054023,0.26958600531966626,0.4143207139835497,0.9972157710528663
cagr,13685.0,0.17591236437887842,0.27717966870841354,-0.8722691555412461,0.024900003920226732,0.1396017231803086,0.2794950896871311,8.853543093750892
yoy,13693.0,0.32426195660479207,16.019795838862944,-7.178424158995866,-0.16484562701139627,0.014526638166659778,0.23609346800524156,1323.60321526553
div-g,8394.0,0.37958933694156416,14.058699784044226,-1.0,0.024301051089711707,0.0790524301758859,0.19356258305410848,1227.15078321765
beta,13693.0,0.6969964852613543,2.4786027966902435,-78.65206788394933,0.3158082995020653,0.63717516486975,1.010027706233215,214.15192185110183
std-dev,13693.0,0.16948128040494315,1.676253134209367,0.0,0.08389734448081067,0.11469589448582006,0.1584582273911786,129.98229417406034
max-d,13693.0,0.48510946685938056,0.21019992454919734,0.0,0.31794651408943575,0.45450258724926573,0.636439226711899,1.3593727896937595
avg-d,13693.0,0.21265775873452056,0.15455905225216449,-1.2342062830492886,0.09390046587669229,0.17002477249234044,0.29453291638725865,0.93328193
var1,13693.0,0.2088743589858355,0.1398779664214516,-0.0,0.14424609237815297,0.18828128247192955,0.24838879694555333,9.914218673740358
var5,13693.0,0.14371728627341407,0.060069800427441034,-0.0,0.10059466602471182,0.1334430982763107,0.17493131159037226,0.9132677888835218
var10,13693.0,0.1095724256172702,0.047295085795742146,-0.0,0.07604770471104294,0.10180528186124937,0.13403668167297017,0.9096527511434377
alpha,13693.0,0.013983894109417203,0.22783629346791634,-0.3308286950349896,-0.0034463193538450364,0.005832178119723842,0.01792557399795098,17.85719324624465
sharpe,13693.0,inf,,-0.6641848598555645,0.04311232017990488,0.12959823517119654,0.2140997228179801,inf
sortino,13693.0,0.33210478625647494,2.400917461812898,-0.9999999999999999,0.07252721256754491,0.2435165898940521,0.4485654933730988,191.30754501912088
m-squared,13693.0,inf,,-0.02828009857557346,0.005694866180335385,0.009844265589162871,0.013906298320714893,inf
omega,13692.0,1.8118285157561478,4.741214476660967,0.008374633276734126,1.24929669856301,1.6013754640412903,2.0412636018136636,365.938320368947
calmar,13684.0,0.5380265550300638,0.7590591682627491,-0.8722850311288126,0.048784434991621106,0.35289232075406285,0.8023422948465836,8.55571027658599
martin,13692.0,224949819988.49402,18634136224823.168,-2.839919958921781,0.37714134593123844,1.1853654443520436,2.7090822278633695,1615693091057409.5
market-cap,13610.0,827690788110.1245,13373992898078.39,2554702.0,3378083840.0,15988310528.0,94067963904.0,1103311264546816.0
market-cap-usd,13484.0,10269342521.959978,87134074207.78557,16047.042390107463,130010510.19156212,770824934.6095948,3652993920.0544753,3622439485440.0
num-an,7614.0,9.054898870501708,7.794071078309862,1.0,3.0,7.0,13.0,63.0
an-rec,5094.0,2.0754818727915194,0.6387215023059568,1.0,1.625,2.0,2.47826,5.0
an-min,7614.0,3910.7961582026364,24105.865790824915,0.06,24.0,104.0,793.0,840000.0
an-max,7614.0,6081.632915794511,39841.86102656897,0.06,36.0,145.0,1100.0,1400000.0
an-avg,7614.0,5020.726929134462,32578.97939880637,0.06,30.214219999999997,125.625,953.20535,1244120.0
wacc,12677.0,0.16277933429520386,0.3478375480940681,-12.523473379901102,0.09792555309689151,0.14565372835151805,0.20099112057753116,32.012896779560684
p-earnings,11393.0,inf,,-250000.0,9.2488365,15.001727,26.845772,inf
p-book,13603.0,26.779644699014735,350.13229808494896,-14440.72056764572,0.9252984,1.824971,4.20540375,20636.363
p-sales,13219.0,54.33841216965435,2466.1880679243995,-166.78594824961948,0.7347938982400013,1.7314482630208965,4.188563617445053,214508.15655344952
peg,6623.0,inf,,1.8085089100013985e-05,0.404973436577881,1.1387641485971198,2.8464637033015503,inf
growth,8163.0,1.0981463347689546,15.636831182531813,-106.108719,0.043424999374999995,0.126975,0.319525005875,1033.33352501
profit-m,12738.0,0.31436692187338183,11.44192211384193,-2.92586,0.01359,0.06356,0.1464549975,1030.7555
roe,13389.0,0.0633465133767751,2.0307604579077037,-49.832458998288146,0.016390811157879718,0.07908064275409184,0.14659250527313683,196.48834252670864
roa,13392.0,0.020653756587638752,0.23849052717671954,-11.056122448979592,0.004948194047890598,0.03285066531277302,0.07084798205524309,11.141824395373291
earnings-g,6469.0,0.6541737266706991,7.653344688204415,-212.238588,0.031775,0.13392500000000002,0.36214999999999997,410.0
revenue-g,8112.0,1.1693284542960114,21.898738999316496,-1.0,0.028618750375,0.084975001,0.1904875,1093.44815
debt-e,12980.0,0.6944378135213531,7.097323175905723,-563.5773781450571,0.13238069090311094,0.43095993525145126,0.9316234568096959,203.14606741573033
debt-a,12982.0,0.25399353011188835,0.4647282596220765,5.74268067707178e-07,0.0782053502863019,0.21302354424030995,0.35946102954377496,26.8607447067413
debt-ebit,10329.0,12.09807004469513,414.1125720302559,0.0,0.7768728053062817,2.14508633762168,4.3889062866985045,38719.70392979779
assets-l,12162.0,4.3814773716985735,91.68744063955654,5.390271815577457e-05,1.12346467352749,1.645870821879111,2.6327632789230884,8932.215501754386
altman-z,13322.0,7.536091869431981,145.03200351246485,-251.1326760820099,1.237006963512508,2.5565744313966086,4.7944601329106495,15977.158657453714
type,13693.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
