,count,mean,std,min,25%,50%,75%,max
yield,1116.0,0.0362533637279214,0.026278150867990405,0.0,0.016506261033238386,0.029915623150724033,0.052915968643813885,0.11278390767095772
volume,1141.0,915375.8851884312,3855490.6019252124,246.0,11969.0,50452.0,309912.0,70290863.0
market-corr,1093.0,0.7737750369830553,0.13874971411024484,0.35691836420080836,0.6862030730065889,0.7974505829845984,0.8766935658727489,0.9988698046597305
cagr,1093.0,0.11552548349159453,0.05391969248600258,-0.03219545491505493,0.08160940039062536,0.12106518348655348,0.15236368391457145,0.265704890822525
yoy,1105.0,0.1401858231788636,0.10155651561632163,-0.14308378994708204,0.06878464183883382,0.1255888108261034,0.2111586361315514,0.4349652922812357
3y,1104.0,0.14693737137892984,0.07494903070176817,-0.057230667912540056,0.09626576103405626,0.1416116152258915,0.19901746508589252,0.3600927673917407
6mo,1082.0,0.3216993545282438,0.18153872438668783,-0.14838552092476043,0.1915251434555854,0.3134330465644506,0.437904880314386,0.8517834550995094
div-g,968.0,0.06985685879183165,0.057266929838178285,-0.08687567552989245,0.03351519047134302,0.06292880076968133,0.09502843400669153,0.24747386712973576
beta,1101.0,0.8754343850027546,0.2695898986919331,0.1538995212700869,0.7014759437876881,0.9151583450543931,1.0599036076353157,1.6103471051433442
std-dev,1023.0,0.05238283004167386,0.013212544589439532,0.01880050328026681,0.045124674724835945,0.051014360143030894,0.06011876956881778,0.08856625936167722
max-d,1079.0,0.2533721428219535,0.08901497511999479,0.006128957903558829,0.18851538895817616,0.2423677947892493,0.30947184709613146,0.518087415081021
avg-d,1050.0,0.06792942439734902,0.03995097721703263,0.0007431456091626783,0.03882873428949299,0.05641308872601282,0.08730288831096235,0.1979134880883078
var1,1030.0,0.10152320451641975,0.02432885263515499,0.04022457198944223,0.08825866458077862,0.09973155385119871,0.11470919894287668,0.16597462312550382
var5,1085.0,0.06888208637764429,0.02153071251891308,0.01270642388928695,0.055493921514589255,0.06618658153702303,0.0825197202813656,0.12666742846433218
var10,1054.0,0.052968173562108596,0.016034304687987704,0.012087051483031042,0.04324455788845734,0.05192319091562992,0.062480328299528556,0.09561629093690002
alpha,1064.0,-0.0010541387361061448,0.0031728500373137784,-0.00960489352900646,-0.003101147031962615,-0.0008312514348972535,0.0009507408924291278,0.007684698969907781
sharpe,1095.0,0.14518488746089198,0.07339680162234384,-0.05783669767759407,0.10283554514918217,0.15155158570220228,0.1990913201451385,0.349422015534083
sortino,1100.0,0.23453665234954924,0.12973287806706,-0.12247259260599441,0.15546787103912862,0.2445279778211478,0.32712535046789104,0.5829191915892016
m-squared,1095.0,0.009945858031318915,0.00335067733605756,0.0006776091564671613,0.008012545157402186,0.010236507637720587,0.012406769927619188,0.01926959831822534
omega,1114.0,1.7112569016851205,0.3244811252238561,0.8396976098110828,1.5035900459058806,1.7217359709078996,1.9471347390354494,2.627128650894622
calmar,1107.0,0.48652031562232056,0.2799853379138071,-0.20563646207494476,0.28704266240857557,0.479738527304396,0.6866368234486242,1.3066255513900495
martin,1110.0,1.6884440853619236,1.1143040604643937,-0.22146374543709438,0.8088756304237272,1.5671625641210256,2.4253565799635988,5.009257236235625
holding-diversity,969.0,0.7851408977547105,0.02941605137787867,0.6733192595820661,0.7701999845199087,0.7978611175638581,0.8073350936969108,0.8099984641225586
sector-diversity,1141.0,0.4816643938019185,0.3103076858493786,0.0,0.07218032830524795,0.6687216476072587,0.7342393868508769,0.8248646582948652
expenses,1121.0,0.004159308651730597,0.002362860814218446,0.0002,0.0023,0.004,0.0058999998,0.0111
turnover,1058.0,0.28675066159735346,0.2631079572176288,0.0,0.0704,0.22,0.42,1.12
assets,1141.0,10809938.074402276,80418864.58988215,3433.156,148238.576,631375.808,2798524.928,1952963887.104
p-earnings,1053.0,20.52689520911681,6.496468481393257,2.5648024,15.809873,19.478088,24.76711,39.129147
