,count,mean,std,min,25%,50%,75%,max
yield,3418.0,0.025590703923682956,0.179844215657483,0.0,0.0,0.005686402345356799,0.020501880644303295,3.501179894266385
volume,3414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
market-corr,3418.0,0.732417511567345,0.19654839766176352,-0.42202072829101117,0.6401889222928994,0.7848784766764516,0.8673092072733773,0.9995747193427108
cagr,3399.0,0.16107742547630607,0.07448636409772413,-0.043135911171134356,0.11250754663229368,0.1607998555383272,0.20136956798645422,1.1727229163630533
yoy,3418.0,0.11086019361624815,0.8742712698174436,-43.974156464314426,0.08489499216652835,0.11208370991503303,0.16173889584194662,12.220477889682392
div-g,1982.0,0.23620430392972122,1.6474588233564538,-0.5,-0.00257464623844002,0.02657394122834731,0.05794949787828017,20.693027512916455
beta,3418.0,0.7679709624967443,0.38296463574862205,-5.018245274635441,0.541848867012052,0.8078770398742823,0.9846184955097939,11.972610321236983
std-dev,3418.0,0.05634733294775568,0.1453400044831757,0.0021224600788673957,0.04102891017884054,0.04940198296509958,0.05938574440339996,6.125957530198784
max-d,3418.0,0.24111778945819737,0.22896734542439243,0.0,0.16499387537268573,0.22734197807052475,0.30409434837575156,12.130617102536668
avg-d,3418.0,0.06193086576872014,0.06757172109397061,-0.6420519021981907,0.03130350734216289,0.04910325029173735,0.08749978619299095,2.289348319891432
var1,3418.0,0.11304784983934624,0.4660413632497944,-0.0024671974237056426,0.07115900429273367,0.09318369839452287,0.11495066997207516,19.80815267609784
var5,3418.0,0.06583572161044804,0.024011826259454864,-0.003404507132551471,0.048863356882663786,0.0672540278658896,0.08267169397740161,0.25636201199565345
var10,3418.0,0.04446571940457302,0.015793165304498157,-0.003476260653705765,0.03416516588719423,0.043231292269484384,0.05495378162280504,0.11680954029970718
alpha,3418.0,0.00032978674748908424,0.021056961859629898,-0.7600747659120841,-0.0023038992852207813,-0.00024532856049855854,0.0022050596393348287,0.21833077497511366
sharpe,3418.0,0.20468915142276506,0.12254170862239054,-0.2615032458976909,0.1468351196713343,0.1947381811281071,0.24050569575982478,1.1553224321192375
sortino,3418.0,0.3976335569889181,0.4727274662210027,-0.29459822029387306,0.23281428521574307,0.3222034868278045,0.4139954382730048,10.20274681876497
m-squared,3418.0,0.013459389711880366,0.005886513821853399,-0.008935009887411765,0.010680266086273302,0.012981376757443288,0.015179902553273898,0.059124788123920746
omega,3399.0,2.5041163853311947,5.4766024786988945,0.023328711978849833,1.7926720686565987,1.9607044889189025,2.2009873969980003,173.3153700525636
calmar,3380.0,0.950680157789248,1.5460010835154272,-0.11497974955813361,0.45647721668243657,0.6199818706763871,0.9335043009461867,50.23733499322494
martin,3399.0,3.546652246252162,10.348893567782284,-3.8284925377098853,1.3076520484077712,1.991701291187172,3.383994108550377,332.26274262527664
holding-diversity,3418.0,0.7409866536487264,0.15546591988887568,0.0,0.7454037969872821,0.7769254048283705,0.8000761044750966,1.0
sector-diversity,3418.0,0.6585963147614952,0.1650803285600698,0.0,0.6568042800868007,0.7108473328657953,0.7486848707182242,0.7964658339755372
expenses,3418.0,0.007593598587132827,0.006800066513532552,0.0,0.00059999997,0.0069999998,0.0111,0.038
assets,3418.0,21373044720.121708,89162165142.24612,1001760320.0,1846985504.0,4103370496.0,11705645056.0,1777875943424.0
p-earnings,3418.0,23.169669435874336,9.653771788740796,0.0119093275,19.03013225,23.0441525,28.00869475,54.026943
assets-usd,3418.0,18993584.976748593,88862609.39639042,13136.375221442044,1012931.904,2398052.608,7820677.12,1777875943.424
type,3418.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0
